name;title;male;culture;mother;father;heir;house;spouse;book1;book2;book3;book4;book5;isAliveMother;isAliveFather;isAliveHeir;isAliveSpouse;isMarried;isNoble;numDeadRelations;isPopular;popularity;Dívida;Capacidade de pagamento anual;
Grunt;;1;Northmen;;;;House Bolton;;0;0;0;0;1;;;;;0;0;0;0;0.0267558528428093; R$ 6.826,00 ; R$ 44.166,00 ;
Tanselle;;0;Dornishmen;;;;;;0;0;0;0;0;;;;;0;0;0;0;0.020066889632107; R$ 31.705,00 ; R$ 45.846,00 ;
Daeron II Targaryen;;1;;Naerys Targaryen;Aegon IV Targaryen;Baelor 'Breakspear' Targaryen;;;0;0;0;0;0;0;0;1;;0;0;10;1;0.765886287625418; R$ 4.934,00 ; R$ 66.309,00 ;
Owen Inchfield;Ser;0;;;;;House Inchfield;;0;0;0;1;0;;;;;0;1;0;0;0.0133779264214046; R$ 36.848,00 ; R$ 67.091,00 ;
Lothor Brune;Ser;1;;;;;House Brune of Brownhollow;;1;1;1;1;1;;;;;0;1;0;0;0.137123745819397; R$ 95.619,00 ; R$ 39.359,00 ;
Elia Sand;;0;Dornishmen;;;;House Martell;;0;0;1;1;1;;;;;0;0;1;0;0.11705685618729; R$ 20.088,00 ; R$ 43.340,00 ;
Carrot;;0;;;;;House Royce of the Gates of the Moon;;0;0;0;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 73.277,00 ; R$ 50.861,00 ;
Elys Waynwood;Ser;0;;;;;House Waynwood;Alys Arryn;0;0;0;1;0;;;;1;1;1;0;0;0.0702341137123745; R$ 2.767,00 ; R$ 60.527,00 ;
Amory Lorch;Ser;1;;;;;House Lorch;;1;1;1;1;1;;;;;0;1;0;0;0.277591973244147; R$ 48.651,00 ; R$ 49.372,00 ;
TomToo;;0;Northmen;;;;House Stark;;0;1;0;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 52.191,00 ; R$ 71.210,00 ;
Mance Rayder;;1;Free folk;;;;;;0;0;0;0;0;;;;;0;0;0;1;0.709030100334448; R$ 6.388,00 ; R$ 48.418,00 ;
Richard Farrow;Ser;0;;;;;House Farrow;;0;0;0;1;0;;;;;0;1;0;0;0.0167224080267558; R$ 23.720,00 ; R$ 70.093,00 ;
Jayne Bracken;;0;;;;;House Bracken;;0;0;0;0;1;;;;;0;0;0;0;0.0301003344481605; R$ 99.390,00 ; R$ 47.993,00 ;
Gendry;Ser;1;;;;;brotherhood without banners;;1;1;1;1;0;;;;;0;1;2;1;0.438127090301003; R$ 72.372,00 ; R$ 26.091,00 ;
Ulwyck Uller;Ser;1;;;;;House Uller;;0;0;1;1;1;;;;;0;1;0;0;0.020066889632107; R$ 55.769,00 ; R$ 48.492,00 ;
Symon Silver Tongue;;1;;;;;;;0;1;1;0;1;;;;;0;0;0;0;0.0468227424749163; R$ 46.052,00 ; R$ 52.867,00 ;
Arnell;Ser;1;;;;;Night's Watch;;0;1;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 92.604,00 ; R$ 54.611,00 ;
Bonifer Hasty;Ser;1;;;;;House Hasty;;0;1;1;1;1;;;;;0;1;0;0;0.0535117056856187; R$ 10.727,00 ; R$ 50.849,00 ;
Sylas;;0;;;;;House Greyjoy;;0;1;0;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 16.414,00 ; R$ 37.665,00 ;
Jonnel Stark;Winterfell;1;;;;;House Stark;Robyn Ryswell;0;1;0;0;0;;;;1;1;1;0;0;0.127090301003344; R$ 81.309,00 ; R$ 62.314,00 ;
Lewys the Fishwife;;0;;;;;House Baratheon of Dragonstone;;0;0;0;0;0;;;;;0;0;0;0;0; R$ 12.556,00 ; R$ 38.007,00 ;
Mago;Bloodrider;0;Dothraki;;;;;;1;0;1;1;1;;;;;0;0;0;0;0.0334448160535117; R$ 75.254,00 ; R$ 25.531,00 ;
Dan;;1;Free Folk;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.00334448160535117; R$ 28.464,00 ; R$ 41.081,00 ;
Quhuru Mo;;1;Summer Isles;;;;;;0;1;0;1;0;;;;;0;0;0;0;0.040133779264214; R$ 72.335,00 ; R$ 27.581,00 ;
Boros Blount;Ser;1;;;;;House Blount;;1;1;1;1;1;;;;;0;1;0;0;0.217391304347826; R$ 92.663,00 ; R$ 71.487,00 ;
Rupert Brax;Ser;1;;;;;House Brax;;0;1;1;0;0;;;;;0;1;0;0;0.040133779264214; R$ 53.606,00 ; R$ 27.307,00 ;
Leyton Hightower;Hightower;1;;;;;House Hightower;Rhea Florent;1;1;1;1;1;;;;1;1;1;0;0;0.150501672240802; R$ 63.305,00 ; R$ 27.867,00 ;
Maron Botley;;1;;;;;House Botley;;0;1;1;0;0;;;;;0;0;0;0;0.020066889632107; R$ 31.823,00 ; R$ 59.729,00 ;
Ryman Frey;Ser;1;;;;;House Frey;;0;1;1;1;1;;;;;0;1;0;0;0.217391304347826; R$ 88.702,00 ; R$ 55.716,00 ;
Nymeria;PrincessQueen;0;Rhoynar;;;;House Martell;Mors Martell;1;1;0;1;1;;;;1;1;1;0;0;0.197324414715719; R$ 22.826,00 ; R$ 61.018,00 ;
Skittrick;;0;Northmen;;;;House Stark;;0;1;0;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 67.821,00 ; R$ 51.341,00 ;
Cedric Payne;Ser;1;;;;;House Payne;;0;0;0;1;0;;;;;0;1;0;0;0.0133779264214046; R$ 75.366,00 ; R$ 45.761,00 ;
Helliweg;Maester;0;;;;;;;0;0;0;1;0;;;;;0;1;0;0;0.0100334448160535; R$ 11.673,00 ; R$ 54.648,00 ;
Larra Blackmont;Blackmont;0;Dornish;;;;House Blackmont;;0;0;1;1;1;;;;;0;1;0;0;0.0267558528428093; R$ 21.539,00 ; R$ 31.029,00 ;
Edmyn Tully;Riverrun;1;Rivermen;;;;House Tully;;1;0;1;0;0;;;;;0;1;0;1;0.357859531772575; R$ 52.918,00 ; R$ 67.207,00 ;
Lennocks;;1;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 94.129,00 ; R$ 79.372,00 ;
Armen;;1;;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.0301003344481605; R$ 77.998,00 ; R$ 77.316,00 ;
Yoren;;0;Westeros;;;;Night's Watch;;1;1;1;1;0;;;;;0;0;0;0;0.267558528428093; R$ 30.302,00 ; R$ 73.194,00 ;
Melaquin;Maester;0;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0; R$ 77.061,00 ; R$ 73.312,00 ;
Mebble;;1;;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 80.371,00 ; R$ 57.837,00 ;
Baelor I Targaryen;;1;;Daenaera Velaryon;Aegon III Targaryen;;;;0;0;0;0;0;1;0;;;0;0;9;1;0.501672240802675; R$ 52.533,00 ; R$ 56.323,00 ;
Jacks;;0;northmen;;;;House Stark;;1;1;1;1;0;;;;;0;0;0;0;0.0334448160535117; R$ 55.095,00 ; R$ 77.852,00 ;
Lothar;Maester;1;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0; R$ 78.622,00 ; R$ 25.395,00 ;
Lothar Frey;Twins;1;Rivermen;;;;House Frey;Leonella Lefford;1;1;1;1;1;;;;1;1;1;1;0;0.17391304347826; R$ 78.122,00 ; R$ 67.555,00 ;
Brynden Rivers;Ser;1;Valyrian;;;;House Targaryen;;0;0;0;1;1;;;;;0;1;4;1;0.605351170568561; R$ 36.111,00 ; R$ 76.108,00 ;
Barth (brewer);;1;;;;;House Stark;;0;1;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 95.460,00 ; R$ 55.110,00 ;
Ronnel Harclay;;0;;;;;House Harclay;;0;0;1;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 38.928,00 ; R$ 32.240,00 ;
Robert Brax;Ser;0;;;;;House Brax;;0;1;1;0;0;;;;;0;1;0;0;0.0468227424749163; R$ 45.696,00 ; R$ 42.069,00 ;
Reynard Webber;Lord of Coldmoat;0;;;;;House Webber;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 34.903,00 ; R$ 75.427,00 ;
Cassana Estermont;;1;;;;;House Estermont;Steffon Baratheon;0;1;1;0;1;;;;0;1;0;0;0;0.103678929765886; R$ 58.095,00 ; R$ 26.114,00 ;
Samwell Tarly;;1;Westeros;;;;Night's Watch;;1;1;1;1;1;;;;;0;0;0;1;0.969899665551839; R$ 98.947,00 ; R$ 71.557,00 ;
Aegon IV Targaryen;;1;;;;Daeron II Targaryen;;;0;0;0;0;0;;;0;;0;0;15;1;0.675585284280936; R$ 55.051,00 ; R$ 33.204,00 ;
Mord;;1;;;;;House Arryn;;1;1;1;1;1;;;;;0;0;0;0;0.0468227424749163; R$ 63.467,00 ; R$ 74.096,00 ;
Belandra;;0;;;;;House Martell;;0;0;0;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 45.764,00 ; R$ 35.419,00 ;
Marissa Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.160535117056856; R$ 33.149,00 ; R$ 23.349,00 ;
Sarra Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.137123745819397; R$ 68.994,00 ; R$ 71.845,00 ;
Glendon Flowers;Ser;1;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0.0802675585284281; R$ 42.734,00 ; R$ 38.037,00 ;
Willem Darry;Ser;1;;;;;House Darry;;1;1;1;0;1;;;;;0;1;1;0;0.120401337792642; R$ 1.977,00 ; R$ 31.755,00 ;
Tom Costayne;Ser;0;;;;;House Costayne;;0;0;0;1;0;;;;;0;1;0;0;0.00668896321070234; R$ 6.967,00 ; R$ 32.507,00 ;
Rhaenys Targaryen;Queen;0;Valyrian;;;;House Targaryen;Aegon I Targaryen;1;0;0;0;0;;;;0;1;1;1;0;0.277591973244147; R$ 1.985,00 ; R$ 35.874,00 ;
Masha Heddle;;0;;;;;;;1;1;0;0;0;;;;;0;0;0;0;0.040133779264214; R$ 26.931,00 ; R$ 60.638,00 ;
Alayaya;;0;;;;;Chataya's brothel;;0;1;1;1;1;;;;;0;0;0;0;0.0769230769230769; R$ 8.895,00 ; R$ 44.658,00 ;
Jeffory Norcross;Ser;1;;;;;House Norcross;;0;0;0;1;0;;;;;0;1;0;0;0.00668896321070234; R$ 87.434,00 ; R$ 61.125,00 ;
Hali;;0;Free Folk;;;;;;1;0;0;0;0;;;;;0;0;0;0;0.020066889632107; R$ 98.815,00 ; R$ 24.920,00 ;
Jon Umber (Greatjon);Last Hearth;1;Northmen;;;;House Umber;;1;1;1;1;1;;;;;0;1;0;0;0.183946488294314; R$ 85.219,00 ; R$ 65.097,00 ;
Sefton Staunton;Septon;1;;;;;House Staunton;;0;0;0;0;0;;;;;0;0;0;0;0.0301003344481605; R$ 36.297,00 ; R$ 75.445,00 ;
Thistle;;0;Free Folk;;;;;;0;0;0;0;1;;;;;0;0;0;0;0.0167224080267558; R$ 47.561,00 ; R$ 74.410,00 ;
Maerie (Whore);;0;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 14.185,00 ; R$ 50.690,00 ;
Sylva Santagar;Greenstone;0;Dornish;;;;House Santagar;Eldon Estermont;0;0;0;1;0;;;;1;1;1;0;0;0.0434782608695652; R$ 50.191,00 ; R$ 33.495,00 ;
Urzen;;1;Ironborn;;;;House Greyjoy;;0;1;1;0;0;;;;;0;0;0;0;0.020066889632107; R$ 34.396,00 ; R$ 52.125,00 ;
Lync;;0;;;;;Night's Watch;;0;1;0;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 80.135,00 ; R$ 30.981,00 ;
Symon Stripeback;;1;;;;;House Targaryen;;0;0;0;0;1;;;;;0;0;0;0;0.0434782608695652; R$ 43.919,00 ; R$ 38.323,00 ;
Quenton Greyjoy;;1;Ironborn;;;;House Greyjoy;;0;0;0;1;0;;;;;0;0;0;0;0.060200668896321; R$ 50.067,00 ; R$ 56.070,00 ;
Tobbot;;0;;;;;House Clegane;;0;1;0;0;0;;;;;0;0;0;0;0.0100334448160535; R$ 54.634,00 ; R$ 77.026,00 ;
Maron Greyjoy;;1;Ironborn;;;;House Greyjoy;;1;1;1;1;1;;;;;0;0;4;0;0.140468227424749; R$ 94.323,00 ; R$ 41.531,00 ;
Quenten Banefort;Banefort;1;;;;;House Banefort;;1;0;1;1;1;;;;;0;1;0;0;0.0234113712374581; R$ 7.661,00 ; R$ 57.456,00 ;
Denyse Hightower;;0;;;;;House Hightower;Desmond Redwyne;0;0;0;1;0;;;;1;1;0;0;0;0.0735785953177257; R$ 77.596,00 ; R$ 65.797,00 ;
Gulian Qorgyle;Ser;1;;;;;House Qorgyle;;0;0;0;1;0;;;;;0;1;0;0;0.0133779264214046; R$ 19.097,00 ; R$ 34.831,00 ;
Mero;;1;Braavosi;;;;Second Sons;;0;0;1;0;1;;;;;0;0;0;0;0.0468227424749163; R$ 48.576,00 ; R$ 42.815,00 ;
Mirri Maz Duur;Godswife;0;Lhazareen;;;;;;1;1;1;1;1;;;;;0;1;0;0;0.1438127090301; R$ 18.699,00 ; R$ 32.608,00 ;
Aegon III Targaryen;;1;Valyrian;Rhaenyra Targaryen;Daemon Targaryen;Daeron I Targaryen;;;0;0;0;0;0;1;0;0;;0;0;8;1;0.625418060200668; R$ 73.851,00 ; R$ 65.938,00 ;
Gerold Hightower;Ser;1;;;;;House Hightower;;1;1;1;0;0;;;;;0;1;0;1;0.414715719063545; R$ 83.403,00 ; R$ 45.927,00 ;
Varamyr;;1;Free Folk;;;;;;0;0;1;0;1;;;;;0;0;0;0;0.227424749163879; R$ 28.456,00 ; R$ 37.082,00 ;
Val;;0;Free folk;;;;;;0;0;1;1;1;;;;;0;0;0;0;0.140468227424749; R$ 96.844,00 ; R$ 40.826,00 ;
Dale Seaworth;Wraith;1;;;;;House Seaworth;;0;1;1;1;1;;;;;0;1;0;0;0.0702341137123745; R$ 10.765,00 ; R$ 27.332,00 ;
Rodrik Greyjoy;;1;Ironborn;;;;House Greyjoy;;1;1;1;1;1;;;;;0;0;4;0;0.153846153846153; R$ 27.260,00 ; R$ 35.931,00 ;
Dickon Tarly;;1;;;;;House Tarly;Eleanor Mooton;1;0;0;1;1;;;;1;1;0;0;0;0.103678929765886; R$ 57.553,00 ; R$ 26.933,00 ;
Jon Bettley;Ser;0;;;;;House Bettley;;0;0;0;1;1;;;;;0;1;0;0;0.0167224080267558; R$ 78.396,00 ; R$ 24.940,00 ;
Gerris Drinkwater;Ser;1;Dornish;;;;House Drinkwater;;0;0;0;0;1;;;;;0;1;0;0;0.157190635451505; R$ 27.228,00 ; R$ 43.710,00 ;
Alaric of Eysen;;0;;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.0167224080267558; R$ 2.540,00 ; R$ 38.147,00 ;
Humfrey Hardyng;Ser;1;;;;;House Hardyng;;0;0;0;0;0;;;;;0;1;0;0;0.0535117056856187; R$ 80.891,00 ; R$ 63.116,00 ;
Orphan Oss;;0;;;;;Night's Watch;;0;0;1;1;1;;;;;0;0;0;0;0.0234113712374581; R$ 29.620,00 ; R$ 69.996,00 ;
Lew (guard);;0;Northmen;;;;House Stark;;0;0;0;0;0;;;;;0;0;0;0;0; R$ 35.043,00 ; R$ 26.463,00 ;
Olyvar Frey;;1;;;;;House Frey;;1;1;1;1;1;;;;;0;0;1;0;0.0836120401337792; R$ 31.857,00 ; R$ 75.520,00 ;
Andrey Dalt;Ser;0;Dornish;;;;House Dalt;;0;0;0;1;0;;;;;0;1;0;0;0.0367892976588628; R$ 80.058,00 ; R$ 35.644,00 ;
Porridge;;1;;;;;House Baratheon of Dragonstone;;0;0;1;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 79.519,00 ; R$ 28.861,00 ;
Gylbert Farwynd;Lonely Light;1;Ironborn;;;;House Farwynd of the Lonely Light;;0;0;1;1;1;;;;;0;1;0;0;0.040133779264214; R$ 17.833,00 ; R$ 24.987,00 ;
Alester Norcross;;1;;;;;House Norcross;;0;1;1;1;0;;;;;0;0;0;0;0.0802675585284281; R$ 56.708,00 ; R$ 30.687,00 ;
Tansy (orphan);;0;;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 22.757,00 ; R$ 68.372,00 ;
Sarella Sand;;0;Dornishmen;;;;House Martell;;0;0;1;1;1;;;;;0;0;1;0;0.103678929765886; R$ 48.452,00 ; R$ 65.714,00 ;
Perwyn Osgrey;Coldmoat;0;;;;;House Osgrey;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 91.213,00 ; R$ 61.105,00 ;
Beric Dondarrion;Lord of Blackhaven;1;;;;;;;1;1;1;1;1;;;;;0;1;0;1;0.434782608695652; R$ 29.655,00 ; R$ 26.945,00 ;
Barth;Septon;1;;;;;Faith of the Seven;;0;0;1;1;1;;;;;0;0;0;1;0.354515050167224; R$ 35.078,00 ; R$ 26.955,00 ;
Harwin Strong;Ser;1;;;;;House Strong;;0;0;0;0;0;;;;;0;1;0;0;0.0869565217391304; R$ 71.103,00 ; R$ 27.439,00 ;
Dalbridge;;1;;;;;Night's Watch;;0;1;1;1;1;;;;;0;0;0;0;0.0501672240802675; R$ 44.610,00 ; R$ 53.553,00 ;
Robin Moreland;Lord;1;;;;;House Moreland;;0;0;0;1;1;;;;;0;1;0;0;0.0133779264214046; R$ 58.281,00 ; R$ 30.726,00 ;
Theobald;Seneschal;1;;;;;;;0;0;0;1;0;;;;;0;1;0;0;0.020066889632107; R$ 67.691,00 ; R$ 27.854,00 ;
Dudley;Ser;1;;;;;;;0;0;1;0;0;;;;;0;1;0;0;0; R$ 51.952,00 ; R$ 71.032,00 ;
Roro Uhoris;Cobblecat;1;Tyroshi;;;;;;0;0;1;0;1;;;;;0;1;0;0;0.020066889632107; R$ 23.210,00 ; R$ 40.685,00 ;
Brandon Tallhart;;1;Northmen;;;;House Tallhart;;0;1;1;1;1;;;;;0;0;0;0;0.060200668896321; R$ 59.920,00 ; R$ 29.184,00 ;
Aerys I Targaryen;;1;;Mariah Martell;Daeron II Targaryen;Rhaegel Targaryen;;;0;0;0;0;0;1;0;0;;0;0;3;1;0.622073578595317; R$ 77.805,00 ; R$ 34.455,00 ;
Harra;;0;;;;;House Whent;;0;1;0;0;0;;;;;0;0;0;0;0.0167224080267558; R$ 1.078,00 ; R$ 43.022,00 ;
Harwin;;0;Northmen;;;;House Stark;;1;1;1;1;1;;;;;0;0;0;0;0.130434782608695; R$ 26.579,00 ; R$ 64.669,00 ;
Penny;;0;;;;;Second Sons;;0;0;1;0;1;;;;;0;0;0;0;0.187290969899665; R$ 9.073,00 ; R$ 67.152,00 ;
Vylarr;Captain of the guard;1;;;;;House Lannister;;0;1;1;1;1;;;;;0;1;0;0;0.040133779264214; R$ 67.551,00 ; R$ 39.298,00 ;
Manfred Dondarrion;Ser;1;;;;;House Dondarrion;;0;0;0;0;0;;;;;0;1;0;0;0.0100334448160535; R$ 65.885,00 ; R$ 49.615,00 ;
Becca;;1;;;;;House Arryn;;1;0;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 72.323,00 ; R$ 79.395,00 ;
Rolfe;;1;;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 62.558,00 ; R$ 75.297,00 ;
Fogo;Khalakka;1;Dothraki;;;;;;1;0;0;0;0;;;;;0;1;0;0;0.020066889632107; R$ 68.579,00 ; R$ 78.371,00 ;
Leyla Hightower;;0;;;;;House Hightower;Jon Cupps;0;0;0;1;0;;;;1;1;0;0;0;0.0501672240802675; R$ 97.264,00 ; R$ 75.680,00 ;
Richard Lonmouth;Ser;1;;;;;House Lonmouth;;0;0;1;0;0;;;;;0;1;0;0;0.0234113712374581; R$ 71.243,00 ; R$ 41.308,00 ;
Jon Hollard;Ser;1;;;;;House Hollard;;0;0;0;1;0;;;;;0;1;0;0;0.0267558528428093; R$ 46.970,00 ; R$ 34.934,00 ;
Gerald Gower;Ser;0;;;;;House Gower;;0;0;1;1;1;;;;;0;1;0;0;0.0234113712374581; R$ 11.462,00 ; R$ 25.987,00 ;
Clarent Crakehall;Ser;0;;;;;House Crakehall;;0;0;0;0;0;;;;;0;1;0;0;0.0100334448160535; R$ 64.099,00 ; R$ 58.718,00 ;
Rickard Ryswell;;1;Northmen;;;;House Ryswell;;0;0;0;1;1;;;;;0;0;0;0;0.040133779264214; R$ 77.069,00 ; R$ 52.248,00 ;
Tumberjon;;0;;;;;Night's Watch;;0;0;1;0;0;;;;;0;0;0;0;0.0100334448160535; R$ 48.966,00 ; R$ 46.941,00 ;
Alerie Hightower;Highgarden;0;;;;;House Hightower;Mace Tyrell;1;1;1;1;1;;;;1;1;1;0;0;0.227424749163879; R$ 18.478,00 ; R$ 62.516,00 ;
Ambrode;;0;Ironborn;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 59.285,00 ; R$ 65.491,00 ;
Asha Greyjoy;Black Wind;0;Ironborn;;;;House Greyjoy;Erik Ironmaker;1;1;0;1;1;;;;1;1;1;0;1;0.709030100334448; R$ 77.946,00 ; R$ 39.871,00 ;
Rodrik Harlaw;Harlaw;1;Ironborn;;;;House Harlaw;;0;1;1;1;1;;;;;0;1;0;0;0.160535117056856; R$ 33.188,00 ; R$ 50.418,00 ;
Meliana;;0;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0; R$ 18.691,00 ; R$ 66.364,00 ;
Varys;Master of Whisperers;1;;;;;;;1;1;1;1;1;;;;;0;1;0;1;0.899665551839464; R$ 63.408,00 ; R$ 32.464,00 ;
Robb Reyne;Ser;1;;;;;House Reyne;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 95.616,00 ; R$ 65.058,00 ;
Ferret;;0;;;;;;;0;0;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 78.177,00 ; R$ 64.003,00 ;
Hoke;;0;;;;;House Lannister;;0;0;0;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 77.023,00 ; R$ 29.086,00 ;
Dunsen;;1;;;;;House Clegane;;0;1;1;1;1;;;;;0;0;0;0;0.040133779264214; R$ 19.902,00 ; R$ 51.875,00 ;
Merrett Frey;;1;Riverlands;;;;House Frey;Mariya Darry;1;1;1;1;1;;;;1;1;0;0;1;0.434782608695652; R$ 81.641,00 ; R$ 75.729,00 ;
Munda;;1;Free Folk;;;;;Longspear Ryk;0;0;1;1;1;;;;1;1;0;0;0;0.0267558528428093; R$ 54.476,00 ; R$ 27.683,00 ;
Eddara Tallhart;Lady of Torrhen's Square;0;Northmen;;;;House Tallhart;;0;1;1;1;1;;;;;0;1;0;0;0.040133779264214; R$ 68.390,00 ; R$ 43.146,00 ;
Sedgekins;;0;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0; R$ 91.823,00 ; R$ 74.999,00 ;
Rigney;Archmaester;1;;;;;;;0;0;0;1;0;;;;;0;1;0;0;0.00334448160535117; R$ 56.923,00 ; R$ 31.875,00 ;
Eleanor Mooton;;0;;;;;House Mooton;Dickon Tarly;0;0;0;1;1;;;;1;1;0;0;0;0.0301003344481605; R$ 54.083,00 ; R$ 34.341,00 ;
Kedry;Maester;1;;;;;;;0;0;0;1;1;;;;;0;1;0;0;0.0301003344481605; R$ 34.484,00 ; R$ 42.433,00 ;
Orell;;1;Free Folk;;;;;;0;1;1;1;1;;;;;0;0;0;0;0.0802675585284281; R$ 93.100,00 ; R$ 76.473,00 ;
Rohanne Webber;Coldmoat;0;;;;;House Webber;Simon Staunton;0;0;0;0;0;;;;1;1;1;0;0;0.170568561872909; R$ 43.003,00 ; R$ 68.048,00 ;
Shella;;0;;;;;;;1;0;0;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 7.175,00 ; R$ 62.628,00 ;
Mushroom;;1;;;;;House Targaryen;;0;0;0;0;0;;;;;0;0;0;0;0.0468227424749163; R$ 64.548,00 ; R$ 72.090,00 ;
Quickfinger;;1;;;;;House Blackfyre;;0;0;0;0;0;;;;;0;0;0;0;0.0100334448160535; R$ 76.913,00 ; R$ 23.388,00 ;
Gelmarr;;1;;;;;House Greyjoy;;0;1;0;0;1;;;;;0;0;0;0;0.0267558528428093; R$ 52.851,00 ; R$ 45.763,00 ;
Frenken;Maester;0;;;;;;;0;1;1;1;1;;;;;0;1;0;0;0.0434782608695652; R$ 94.317,00 ; R$ 27.420,00 ;
