Classificacao,Familia,Saldo_para_investimento,total_%,Nome
A,House Frey,27132.0,0.00113,Mellara Rivers
A,House Frey,21601.0,0.0009,Della Frey
A,House Frey,31582.0,0.00131,Walton Frey
A,House Frey,44533.0,0.00185,Lythene Frey
A,House Frey,24734.0,0.00103,Pate of the Blue Fork
A,House Frey,7588.0,0.00031,Hosteen Frey
B,Blacks,15207.0,0.00063,Nettles
B,Blacks,46966.0,0.00195,Gerardys
B,Blacks,6493.0,0.00027,Ulf the White
B,Blacks,35933.0,0.00149,Hugh Hammer
B,House Ball,63963.0,0.00265,Quentyn Ball
B,House Bolton,37340.0,0.00155,Grunt
B,House Bolton,14461.0,0.0006,Reek
B,House Bolton,2938.0,0.00012,Nage
B,House Bolton,9776.0,0.00041,Bethany Bolton
B,House Bolton,9794.0,0.00041,Damon Dance-for-Me
B,House Bolton,65233.0,0.00271,Sour Alyn
B,House Bolton,2529.0,0.0001,Skinner
B,House Bolton,20732.0,0.00086,Domeric Bolton
C,House Inchfield,30243.0,0.00125,Owen Inchfield
A,House Martell,23252.0,0.00096,Elia Sand
A,House Martell,38192.0,0.00158,Nymeria
A,House Martell,17262.0,0.00072,Sarella Sand
A,House Martell,45779.0,0.0019,Myles
A,House Martell,17346.0,0.00072,Maron Martell
A,House Martell,11068.0,0.00046,Dorea Sand
A,House Martell,15098.0,0.00063,Quentyn Martell
A,House Martell,19606.0,0.00081,Trystane Martell
A,House Martell,48487.0,0.00201,Mors Martell
A,House Martell,9871.0,0.00041,Timoth
A,House Martell,32460.0,0.00135,Caleotte
A,House Martell,33296.0,0.00138,Nymeria Sand
A,House Martell,38923.0,0.00161,Loreza Sand
A,House Martell,50963.0,0.00211,Morra
A,House Martell,33460.0,0.00139,Areo Hotah
A,House Martell,5686.0,0.00024,Mellei
A,House Martell,54555.0,0.00226,Obella Sand
A,House Martell,43637.0,0.00181,Ricasso
A,House Waynwood,57760.0,0.0024,Elys Waynwood
A,House Waynwood,33543.0,0.00139,Wallace Waynwood
A,House Waynwood,35234.0,0.00146,Marsella Waynwood
A,House Waynwood,65886.0,0.00273,Wyl Waynwood
A,House Waynwood,14947.0,0.00062,Anya Waynwood
A,House Waynwood,8313.0,0.00034,Morton Waynwood
A,House Waynwood,41694.0,0.00173,Jasper Waynwood
C,House Lorch,721.0,3e-05,Amory Lorch
C,House Farrow,46373.0,0.00192,Richard Farrow
C,House Hasty,40122.0,0.00166,Bonifer Hasty
A,House Greyjoy,21251.0,0.00088,Sylas
A,House Greyjoy,17729.0,0.00074,Urzen
A,House Greyjoy,6003.0,0.00025,Quenton Greyjoy
A,House Greyjoy,8671.0,0.00036,Rodrik Greyjoy
A,House Greyjoy,37123.0,0.00154,Wendamyr
A,House Greyjoy,37922.0,0.00157,Rymolf
A,House Greyjoy,41911.0,0.00174,Quellon Greyjoy
A,House Greyjoy,34245.0,0.00142,Theon Greyjoy
A,House Greyjoy,23821.0,0.00099,Dagmer
A,House Greyjoy,44497.0,0.00185,Nute
A,House Greyjoy,10618.0,0.00044,Cragorn
A,House Greyjoy,6829.0,0.00028,Stygg
A,House Greyjoy,45137.0,0.00187,Alannys Harlaw
A,House Greyjoy,1924.0,8e-05,Vickon Greyjoy
A,House Greyjoy,7380.0,0.00031,Victarion Greyjoy
A,House Greyjoy,42966.0,0.00178,Tymor
B,House Baratheon of Dragonstone,25451.0,0.00106,Lewys the Fishwife
B,House Baratheon of Dragonstone,5300.0,0.00022,Salladhor Saan
B,House Baratheon of Dragonstone,75941.0,0.00315,Shireen Baratheon
A,House Botley,27906.0,0.00116,Maron Botley
A,House Botley,11622.0,0.00048,Sawane Botley
A,House Botley,56353.0,0.00234,Harlon Botley
A,House Botley,8903.0,0.00037,Lucimore Botley
A,House Botley,26207.0,0.00109,Wex Pyke
A,House Botley,10465.0,0.00043,Bennarion Botley
A,House Botley,34424.0,0.00143,Quellon Botley
A,House Botley,12639.0,0.00052,Harren Botley
C,House Blackmont,9490.0,0.00039,Larra Blackmont
B,House Tully,14289.0,0.00059,Edmyn Tully
B,House Tully,4684.0,0.00019,Elwood
B,House Tully,14503.0,0.0006,Edmure Tully
B,House Tully,41662.0,0.00173,Delp
B,House Tully,7500.0,0.00031,Long Lew
B,House Tully,63236.0,0.00262,Myles (squire)
B,House Tully,12762.0,0.00053,Enger
A,Night's Watch,42892.0,0.00178,Yoren
A,Night's Watch,40376.0,0.00167,Orphan Oss
A,Night's Watch,8943.0,0.00037,Dalbridge
A,Night's Watch,26228.0,0.00109,Jafer Flowers
A,Night's Watch,52321.0,0.00217,Owen
A,Night's Watch,18414.0,0.00076,Dirk
A,Night's Watch,6506.0,0.00027,Grenn
A,Night's Watch,55569.0,0.00231,Spare Boot
A,Night's Watch,8794.0,0.00036,Grubbs
A,Night's Watch,38079.0,0.00158,Easy
A,Night's Watch,24503.0,0.00102,Red Alyn of the Rosewood
A,Night's Watch,19738.0,0.00082,Tim Stone
A,Night's Watch,75068.0,0.00311,Jorquen
A,Night's Watch,23719.0,0.00098,Cotter Pyke
A,Night's Watch,30222.0,0.00125,Elron
A,Night's Watch,16615.0,0.00069,Dywen
A,Night's Watch,52275.0,0.00217,Black Bernarr
A,Night's Watch,18076.0,0.00075,Goady
A,Night's Watch,41562.0,0.00172,Sawwood
A,Night's Watch,20309.0,0.00084,Brown Bernarr
A,Night's Watch,10832.0,0.00045,Robin Hill
A,Night's Watch,29527.0,0.00122,Ebben
A,Night's Watch,33931.0,0.00141,Stiv
A,Night's Watch,27543.0,0.00114,Kegs
A,Night's Watch,27961.0,0.00116,Gueren
A,Night's Watch,18647.0,0.00077,Rudge
A,Night's Watch,28761.0,0.00119,Watt
A,Night's Watch,43176.0,0.00179,Marq Rankenfell
A,Night's Watch,17377.0,0.00072,Arron
A,Night's Watch,13034.0,0.00054,Hop-Robin
A,Night's Watch,25999.0,0.00108,Pate (Night's Watch)
A,Night's Watch,17553.0,0.00073,Conwy
A,Night's Watch,26857.0,0.00111,Todder
A,Night's Watch,17351.0,0.00072,Albett
A,Night's Watch,10538.0,0.00044,Redwyn
A,Night's Watch,10487.0,0.00044,Dornish Dilly
A,Night's Watch,2828.0,0.00012,Hairy Hal
A,Night's Watch,59558.0,0.00247,Rat Cook
A,Night's Watch,44393.0,0.00184,Rusty Flowers
A,Night's Watch,35681.0,0.00148,Hobb
A,Night's Watch,17191.0,0.00071,Kedge Whiteye
A,Night's Watch,38728.0,0.00161,Bearded Ben
A,Night's Watch,5502.0,0.00023,Gared
A,Night's Watch,14734.0,0.00061,Halder
A,Night's Watch,4706.0,0.0002,Cuger
A,Night's Watch,29262.0,0.00121,Satin
A,Night's Watch,19903.0,0.00083,Harmune
A,Night's Watch,9388.0,0.00039,Emrick
A,House Webber,40524.0,0.00168,Reynard Webber
A,House Webber,25045.0,0.00104,Rohanne Webber
A,House Webber,33199.0,0.00138,Jorgen
A,House Webber,31085.0,0.00129,Wolmer
A,House Webber,68917.0,0.00286,Wendell Webber
B,House Arryn,10629.0,0.00044,Mord
B,House Arryn,7072.0,0.00029,Becca
B,House Arryn,9712.0,0.0004,Maddy
B,House Arryn,25137.0,0.00104,Gretchel
B,House Arryn,7480.0,0.00031,Jon Arryn
B,House Arryn,20060.0,0.00083,Aemma Arryn
B,House Arryn,4141.0,0.00017,Hugh
B,House Arryn,18864.0,0.00078,Jeyne Arryn
B,House Arryn,10510.0,0.00044,Jasper Arryn
B,House Darry,29778.0,0.00124,Willem Darry
B,House Darry,30960.0,0.00128,Lyman Darry
B,House Darry,32561.0,0.00135,Jonothor Darry
B,House Darry,21373.0,0.00089,Jeyne Darry
C,House Costayne,25540.0,0.00106,Tom Costayne
C,House Costayne,18783.0,0.00078,Tommen Costayne
B,Chataya's brothel,35763.0,0.00148,Alayaya
B,Chataya's brothel,37445.0,0.00155,Marei
C,House Staunton,39148.0,0.00162,Sefton Staunton
B,House Clegane,22392.0,0.00093,Tobbot
B,House Clegane,31973.0,0.00133,Dunsen
B,House Clegane,35089.0,0.00146,Polliver
B,House Clegane,8637.0,0.00036,Sandor Clegane
B,House Clegane,375.0,2e-05,Eggon
B,House Clegane,41554.0,0.00172,Rafford
B,House Clegane,27990.0,0.00116,Joss Stilwood
C,House Banefort,49795.0,0.00207,Quenten Banefort
C,House Qorgyle,15734.0,0.00065,Gulian Qorgyle
C,House Qorgyle,1983.0,8e-05,Quentyn Qorgyle
C,House Drinkwater,16482.0,0.00068,Gerris Drinkwater
C,House Farwynd of the Lonely Light,7154.0,0.0003,Gylbert Farwynd
B,Second Sons,58079.0,0.00241,Penny
B,Second Sons,22554.0,0.00094,Tybero Istarion
C,House Gower,14525.0,0.0006,Gerald Gower
B,House Hightower,44038.0,0.00183,Alerie Hightower
B,House Hightower,27469.0,0.00114,Runcel Hightower
B,House Hightower,28297.0,0.00117,Alicent Hightower
B,House Hightower,23103.0,0.00096,Quenton Hightower
B,House Hightower,2284.0,9e-05,Otto Hightower
B,House Harlaw,17230.0,0.00071,Rodrik Harlaw
B,House Harlaw,15356.0,0.00064,Dykk Harlaw
B,House Harlaw,41370.0,0.00172,Gevin Harlaw
B,House Harlaw,43146.0,0.00179,Three-Tooth
C,House Stonetree,1108.0,5e-05,Sigfry Stonetree
B,House Velaryon,14236.0,0.00059,Laenor Velaryon
B,House Velaryon,44021.0,0.00183,Alyn Velaryon
B,House Velaryon,28242.0,0.00117,Valaena Velaryon
B,House Velaryon,52980.0,0.0022,Monterys Velaryon
B,House Velaryon,24407.0,0.00101,Laena Velaryon
B,House Karstark,8001.0,0.00033,Torrhen Karstark
B,House Karstark,60046.0,0.00249,Arthor Karstark
B,House Karstark,67951.0,0.00282,Eddard Karstark
B,House Karstark,23785.0,0.00099,Alys Karstark
B,House Karstark,4098.0,0.00017,Cregan Karstark
B,House Karstark,2547.0,0.00011,Rickard Karstark
C,House Ruttiger,55086.0,0.00229,Raynard Ruttiger
C,House Spicer,2926.0,0.00012,Sybell Spicer
C,House Spicer,16379.0,0.00068,Rolph Spicer
B,Faith of the Seven,25087.0,0.00104,High Sparrow
B,Faith of the Seven,68226.0,0.00283,Murmison
B,Faith of the Seven,717.0,3e-05,Raynard
B,Faith of the Seven,37470.0,0.00155,Eglantine
B,Faith of the Seven,11587.0,0.00048,Eustace (Braavos)
B,House Baelish,17059.0,0.00071,Petyr Baelish
B,House Baelish,61313.0,0.00254,Umfred
B,House Baelish,21655.0,0.0009,Grisel
C,House Piper,15322.0,0.00064,Lewys Piper
C,House Piper,35729.0,0.00148,Clement Piper
B,House Redwyne,42883.0,0.00178,Horas Redwyne
B,House Redwyne,47914.0,0.00199,Ryam Redwyne
B,House Redwyne,3209.0,0.00013,Ballabar
C,House Mullendore,40861.0,0.00169,Martyn Mullendore
C,House Mullendore,8360.0,0.00035,Mark Mullendore
B,House Royce,7235.0,0.0003,Kyle Royce
B,House Royce,32903.0,0.00136,Samwell Stone
B,House Royce,36653.0,0.00152,Ryella Royce
B,House Royce,16151.0,0.00067,Waymar Royce
B,House Royce,1150.0,5e-05,Andar Royce
B,House Royce,15055.0,0.00062,Rhea Royce
B,House Royce,34935.0,0.00145,Ysilla Royce
A,House of Loraq,26527.0,0.0011,Mazdhan zo Loraq
A,House of Loraq,11906.0,0.00049,Bhakaz zo Loraq
A,House of Loraq,38984.0,0.00162,Marghaz zo Loraq
A,House of Loraq,63474.0,0.00263,Khrazz
A,House of Loraq,38364.0,0.00159,Zharaq zo Loraq
A,House of Loraq,20360.0,0.00084,Steelskin
A,House of Loraq,19982.0,0.00083,Hazrak zo Loraq
B,House Florent,33431.0,0.00139,Erren Florent
B,House Florent,57161.0,0.00237,Ryam Florent
B,House Florent,7480.0,0.00031,Merrell Florent
B,House Florent,16231.0,0.00067,Axell Florent
B,House Florent,61403.0,0.00255,Rhea Florent
B,House Selmy,58333.0,0.00242,Barristan Selmy
B,House Selmy,27400.0,0.00114,Lyonel Selmy
C,House Byrch,20213.0,0.00084,Balman Byrch
C,House Bulwer,25444.0,0.00106,Buford Bulwer
C,House Bulwer,2133.0,9e-05,Alysanne Bulwer
C,House Tallhart,41999.0,0.00174,Leobald Tallhart
C,House Tallhart,348.0,1e-05,Beren Tallhart
C,House Connington,30286.0,0.00126,Alyn Connington
C,House Connington,27319.0,0.00113,Ronald Storm
C,House of Galare,12445.0,0.00052,Grazdan zo Galare
C,House of Galare,11306.0,0.00047,Grazdar zo Galare
C,House of Galare,14153.0,0.00059,Elza
B,House Mormont,9102.0,0.00038,Jorelle Mormont
B,House Mormont,46727.0,0.00194,Alysane Mormont
B,House Mormont,19501.0,0.00081,Maege Mormont
B,House Mormont,38721.0,0.00161,Dacey Mormont
B,House Mormont,6053.0,0.00025,Jeor Mormont
B,House Hardyng,71626.0,0.00297,Deana Hardyng
B,Brave Companions,63468.0,0.00263,Three Toes
B,Brave Companions,4635.0,0.00019,Rorge
B,Brave Companions,18618.0,0.00077,Vargo Hoat
B,Brave Companions,12536.0,0.00052,Zollo
B,Brave Companions,35560.0,0.00148,Togg Joth
C,Antler Men,60291.0,0.0025,Salloreon
C,House Stout,11197.0,0.00046,Ronnel Stout
A,House Tyrell,24628.0,0.00102,Mace Tyrell
A,House Tyrell,5507.0,0.00023,Leo Tyrell (Longthorn)
A,House Tyrell,25816.0,0.00107,Margaery Tyrell
A,House Tyrell,39728.0,0.00165,Janna Tyrell
A,House Tyrell,38006.0,0.00158,Loras Tyrell
A,House Tyrell,2389.0,0.0001,Garse Flowers
A,House Tyrell,22733.0,0.00094,Olymer Tyrell
A,House Tyrell,23244.0,0.00096,Lyonel Tyrell (son of Leo)
A,House Tyrell,33910.0,0.00141,Megga Tyrell
A,House Tyrell,17604.0,0.00073,Lucas Tyrell
A,House Tyrell,16582.0,0.00069,Leo Tyrell (son of Victor)
A,House Tyrell,53768.0,0.00223,Victaria Tyrell
A,House Tyrell,47150.0,0.00196,Erryk (guard)
A,House Tyrell,22258.0,0.00092,Theodore Tyrell
A,House Tyrell,57988.0,0.00241,Moryn Tyrell
A,House Tyrell,11623.0,0.00048,Olene Tyrell
A,House Tyrell,47326.0,0.00196,Lorent Tyrell
A,House Tyrell,7465.0,0.00031,Arryk (guard)
A,House Tyrell,62652.0,0.0026,Elinor Tyrell
A,House Tyrell,4424.0,0.00018,Victor Tyrell
C,House Mudd,56456.0,0.00234,Tristan Mudd
A,House Osgrey,36470.0,0.00151,Lem (Standfast)
A,House Osgrey,16298.0,0.00068,Bennis
A,House Osgrey,48678.0,0.00202,Alysanne Osgrey
A,House Osgrey,64070.0,0.00266,Rob
A,House Osgrey,20785.0,0.00086,Will (Treb)
A,House Osgrey,17135.0,0.00071,Wilbert Osgrey
A,House Osgrey,42703.0,0.00177,Sam Stoops
A,House Osgrey,29157.0,0.00121,Mudge (swineherd)
C,House Harlaw of Harlaw Hall,31348.0,0.0013,Sigfryd Harlaw
C,House Fossoway of Cider Hall,25259.0,0.00105,Tanton Fossoway
C,House Fossoway of Cider Hall,27713.0,0.00115,Edwyd Fossoway
C,House Hunt,14909.0,0.00062,Alyn Hunt
C,House Harlaw of Grey Garden,24756.0,0.00103,Harras Harlaw
B,House Reed,3182.0,0.00013,Jojen Reed
B,House Reed,50031.0,0.00208,Howland Reed
B,House Reed,51005.0,0.00212,Meera Reed
C,House Cerwyn,56880.0,0.00236,Cley Cerwyn
C,House Locke,17399.0,0.00072,Sybelle Glover
B,House Blackwood,14090.0,0.00058,Quentyn Blackwood
B,House Blackwood,34361.0,0.00143,Melissa Blackwood
B,House Blackwood,53034.0,0.0022,Tytos Blackwood
B,Alchemists' Guild,37999.0,0.00158,Garigus
B,Alchemists' Guild,16202.0,0.00067,Belis
B,Alchemists' Guild,39499.0,0.00164,Malliard
C,House Rhysling,3919.0,0.00016,Robyn Rhysling
B,House Cassel,29264.0,0.00121,Martyn Cassel
B,House Cassel,58439.0,0.00242,Rodrik Cassel
B,House Cassel,5921.0,0.00025,Beth Cassel
B,House Cassel,6410.0,0.00027,Jory Cassel
C,House of Kandaq,40699.0,0.00169,Skahaz mo Kandaq
B,House Vance of Atranta,74327.0,0.00308,Hugo Vance
B,House Vance of Atranta,28900.0,0.0012,Norbert Vance
B,House Vance of Atranta,24581.0,0.00102,Kirth Vance
C,House Penny,42780.0,0.00177,Jon Penny
C,House Massey,27244.0,0.00113,Justin Massey
C,House Wells,31036.0,0.00129,Willam Wells
B,House Oakheart,26031.0,0.00108,Edgerran Oakheart
B,House Oakheart,20569.0,0.00085,Olyvar Oakheart
B,House Oakheart,54083.0,0.00224,Arwyn Oakheart
C,House Crakehall,27488.0,0.00114,Tybolt Crakehall
B,House Westerling,2615.0,0.00011,Ormond Westerling
B,House Westerling,1195.0,5e-05,Rollam Westerling
B,House Westerling,11162.0,0.00046,Jeyne Westerling (wife of Maegor I)
B,House Westerling,48661.0,0.00202,Raynald Westerling
A,House Bracken,69845.0,0.0029,Aegor Rivers
A,House Bracken,26530.0,0.0011,Kurleket
A,House Bracken,2828.0,0.00012,Alysanne Bracken
A,House Bracken,58223.0,0.00242,Lharys
A,House Bracken,30090.0,0.00125,Mohor
A,House Bracken,12422.0,0.00052,Jonos Bracken
B,House Vance of Wayfarer's Rest,35338.0,0.00147,Emphyria Vance
B,House Vance of Wayfarer's Rest,14279.0,0.00059,Liane Vance
B,House Vance of Wayfarer's Rest,40928.0,0.0017,Karyl Vance
C,House Longthorpe,23350.0,0.00097,Rolland Longthorpe
C,House of Reznak,8089.0,0.00034,Reznak mo Reznak
C,House Grimm,8447.0,0.00035,Guthor Grimm
B,House Conklyn,63366.0,0.00263,Clifford Conklyn
C,House Wull,3507.0,0.00015,Hugo Wull
C,House Grafton,11917.0,0.00049,Gerold Grafton
A,House Baratheon,3535.0,0.00015,Colen of Greenpools
A,House Baratheon,56986.0,0.00236,Edric Storm
A,House Baratheon,169.0,1e-05,Brella
A,House Baratheon,31064.0,0.00129,Harbert
A,House Baratheon,52651.0,0.00218,Barra
A,House Baratheon,54452.0,0.00226,Steffon Baratheon
A,House Baratheon,60663.0,0.00252,Gowen Baratheon
A,House Baratheon,2555.0,0.00011,Orys Baratheon
A,House Baratheon,15357.0,0.00064,Lyonel Baratheon
B,House Frey of Riverrun,70554.0,0.00293,Emmon Frey
B,House Frey of Riverrun,15592.0,0.00065,Lyonel Frey
C,House Foote,38809.0,0.00161,Philip Foote
B,House Ironmaker,37693.0,0.00156,Erik Ironmaker
B,House Ironmaker,49213.0,0.00204,Dagon Ironmaker
B,House Cuy,60253.0,0.0025,Branston Cuy
B,House Cuy,35664.0,0.00148,Emmon Cuy
C,House Rykker,9505.0,0.00039,Renfred Rykker
B,House Chyttering,65379.0,0.00271,Lucos Chyttering
B,House Yronwood,20087.0,0.00083,Anders Yronwood
B,House Yronwood,55934.0,0.00232,Ormond Yronwood
B,House Wylde,1216.0,5e-05,Jasper Wylde
B,House Wylde,38902.0,0.00161,Jon Wylde
B,House Wylde,16038.0,0.00067,Gawen Wylde
B,House Wylde,39820.0,0.00165,Tyana Wylde
B,House Wylde,15378.0,0.00064,Ormund Wylde
B,House Wylde,26384.0,0.00109,Rickard Wylde
B,House Wylde,28940.0,0.0012,Gladden Wylde
C,House Tollett,28477.0,0.00118,Eddison Tollett
C,House Tollett,15177.0,0.00063,Uthor Tollett
B,House Swyft,21767.0,0.0009,Jocelyn Swyft
